LOCATION,TIME,Kg por pessoa
WORLD,2000,85.94
WORLD,2001,85.33
WORLD,2002,86.8
WORLD,2003,87.26
WORLD,2004,87.55
WORLD,2005,90.14
WORLD,2006,93.06
WORLD,2007,95.21
WORLD,2008,96.93
WORLD,2009,95.73
WORLD,2010,98.27
WORLD,2011,99.4
WORLD,2012,100.57
WORLD,2013,100.45
WORLD,2014,101.41
WORLD,2015,103.46
WORLD,2016,103.67
WORLD,2017,104.65
